country,totalSites,name,surface_total,surface_oneKM,surface_tenKM,water_m250,water_m500,water_oneKM,people_tenKM,people_oneKM,people_fiveKM,indexYear,kgPerCaptia,rank,topProducer_1,topProducer_1_value,topProducer_2,topProducer_2_value,topProducer_3,topProducer_3_value,topProducer_4,topProducer_4_value,topProducer_5,topProducer_5_value
Albania,37,ALBANIA,94628.4376774436,23.0,1.0,19.0,24.0,33.0,4946039.0,118281.0,2152694.0,2021,2.069056213412824,131,CHINA RESOURCES (HOLDINGS) COMPANY LIMITED,0.5642595505179833,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",0.6970265035810381,"JIANGYIN CHENGXING INDUSTRIAL GROUP CO., LTD.",0.3983008591891647,QATAR PETROLEUM,0.34807344708795684,Zhejiang Wankai New Materials Co. Ltd,0.4148967283220465
Algeria,74,ALGERIA,546326.3962183145,50.0,17.0,12.0,18.0,27.0,12083008.0,98505.0,3671295.0,2021,9.205964080987005,43,CHINA RESOURCES (HOLDINGS) COMPANY LIMITED,16.751761467442886,Exxon Mobil Corp,16.238091027434262,Indorama Ventures PCL,22.592674854080023,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",20.693352400958858,Saudi Arabian Oil Co,46.70453585901564
Angola,2,ANGOLA,4227.8786194674685,1.0,0.0,0.0,0.0,2.0,1263931.0,27716.0,468452.0,2021,0.8948669341594513,104,Indorama Ventures PCL,1.9851705570356797,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",1.4986667619877037,LyondellBasell Industries NV,1.286963855043096,Reliance Industries Ltd,1.5636986497058132,Sasol Ltd,1.238362025346228
Argentina,102,ARGENTINA,668035.5172551451,72.0,21.0,21.0,32.0,52.0,7882424.0,79375.0,2434247.0,2021,14.647363913153715,30,Alpek SAB de CV,141.5685296817071,Braskem SA,101.04430571172864,Dow Inc,161.24953487453942,Exxon Mobil Corp,30.249565419263806,PETROQUIMICA CUYO SAIC,75.44363851567869
Armenia,0,ARMENIA,,,,,,,,,,2021,3.1754232591145954,126,AMIR KABIR PETROCHEMICAL PUBLIC JOINT STOCK COMPANY,1.1887978237476546,BAKHTAR PETROCHEMICAL COMPANY,2.337528570277864,JAM PETROCHEMICAL PUBLIC JOINT STOCK COMPANY,1.0933753108289386,MARUN PETROCHEMICAL PUBLIC JOINT STOCK COMPANY,0.7472412846001111,NATIONAL PETROCHEMICAL COMPANY,0.4781990175600759
Australia,16,AUSTRALIA,30144.885456695763,10.0,0.0,2.0,3.0,7.0,803534.0,9378.0,260020.0,2021,58.066073713400804,15,China Petroleum & Chemical Corp,79.25800532117873,Exxon Mobil Corp,83.59131257170677,LyondellBasell Industries NV,67.47940064250898,PTT PCL,64.3316769594848,QENOS OLEFINS PTY LTD,75.60828696124577
Austria,0,AUSTRIA,,,,,,,,,,2021,31.478826215165505,48,Dow Inc,16.696237815507143,Exxon Mobil Corp,13.622688387282235,Indorama Ventures PCL,20.788388228063035,LyondellBasell Industries NV,22.041309112198118,Saudi Arabian Oil Co,17.417375606916053
Azerbaijan,11,AZERBAIJAN,46072.66096808872,10.0,0.0,2.0,4.0,7.0,1059079.0,6759.0,229864.0,2021,5.381125059602057,92,BAKHTAR PETROCHEMICAL COMPANY,2.005849511937215,CHINA RESOURCES (HOLDINGS) COMPANY LIMITED,1.6253514096681534,JAM PETROCHEMICAL PUBLIC JOINT STOCK COMPANY,1.8827930476670747,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",2.007787035472424,STATE OIL COMPANY OF THE AZERBAIJAN REPUBLIC,30.16799609149946
Bahrain,0,BAHRAIN,,,,,,,,,,2021,11.796449538922907,115,Dow Inc,1.0663862773440353,EASTERN PETROCHEMICAL COMPANY,0.8531187925546321,Exxon Mobil Corp,1.1927319260157527,OCTAL PETROCHEMICALS FZC,1.6302619974291193,Saudi Arabian Oil Co,5.127442719559737
Bangladesh,23,BANGLADESH,134054.9715985372,10.0,4.0,15.0,21.0,22.0,45558714.0,553868.0,13786126.0,2021,1.7636095285770275,47,BOREALIS AG,10.370655882145167,Exxon Mobil Corp,16.134781960649402,Formosa Plastics Corp,12.621440502492757,Reliance Industries Ltd,21.56612659265729,Saudi Arabian Oil Co,32.49299202051647
